Title,clean_synopsis
Guardians of the Galaxy,light year earth year abducted peter quill find prime target manhunt discovering orb wanted ronan accuser
Star Wars: Episode I - The Phantom Menace,anakin skywalker young slave strong force discovered tatooine meanwhile evil sith returned enacting plot revenge jedi
Uma & Haggen,futuristic society pre hispanic heritage viking named haggen decides help princess uma come back city order retrieve throne deceased father
Back to the Future Part II,marty doc time traveling duo head nip mcfly family woe bud thing go awry thanks bully biff tannen pesky sport almanac last ditch attempt set thing straight marty find bound face face teenage parent
Jurassic World,twenty two year event jurassic park isla nublar feature fully functioning dinosaur theme park jurassic world originally envisioned john hammond
Solo: A Star Wars Story,series daring escapade deep within dark dangerous criminal underworld han solo meet mighty future copilot chewbacca encounter notorious gambler lando calrissian
Madagascar,four animal friend get taste wild life break captivity central park zoo wash ashore island madagascar
A Bug's Life,behalf oppressed bug everywhere inventive ant named flik hire troupe warrior bug defend bustling colony horde freeloading grasshopper led evil minded hopper
Goldfinger,special agent come face face one notorious villain time must outwit outgun powerful tycoon prevent cashing devious scheme raid fort knox obliterate world economy
The King's Man,collection history worst tyrant criminal mastermind gather plot war wipe million one man must race time stop
Madagascar 3: Europe's Most Wanted,animal pal alex marty melman gloria still trying make back new york central park zoo forced take detour europe find penguin chimp broke bank monte carlo casino french animal control officer capitaine chantel dubois pick scent alex company forced hide traveling circus
The Lion King,simba idolizes father king mufasa take heart royal destiny everyone kingdom celebrates new cub arrival scar mufasa brother former heir throne plan battle pride rock ravaged betrayal tragedy drama ultimately resulting simba exile help curious pair newfound friend simba figure grow take back rightfully
Planet of the Apes,astronaut taylor crash land distant planet ruled ape use primitive race human experimentation sport soon taylor find among hunted life hand benevolent chimpanzee scientist
Porco Rosso,italy sky pirate biplane terrorize wealthy cruise ship sail adriatic sea pilot brave enough stop scourge mysterious porco rosso former world war flying ace somehow turned pig war prepares battle pirate crew american ace porco rosso enlists help spunky girl mechanic fio piccolo longtime friend madame gina
The Garfield Movie,garfield world famous monday hating lasagna loving indoor cat wild outdoor adventure unexpected reunion long lost father scruffy street cat vic garfield canine friend odie forced perfectly pampered life joining vic hilarious high stake heist
X-Men: Days of Future Past,ultimate x men ensemble fight war survival specie across two time period join force younger self epic battle must change past save future
Inside Out,year old riley move new city emotion team help transition joy fear anger disgust sadness work together joy sadness get lost must journey unfamiliar place get back home
Ralph Breaks the Internet,video game bad guy ralph fellow misfit vanellope von schweetz must risk traveling world wide web search replacement part save vanellope video game sugar rush way head ralph vanellope rely citizen internet netizens help navigate way including entrepreneur named yesss head algorithm heart soul trend making site buzzztube
Jaws,seaside community amity find attack dangerous great white shark town chief police young marine biologist grizzled hunter embark desperate quest destroy beast strike
Men in Black,police chase otherworldly new york city cop recruited agent top secret organization established monitor police alien activity earth men black agent k new recruit agent j find middle deadly plot intergalactic terrorist arrived earth assassinate two ambassador opposing galaxy
The Expendables,barney ross lead band highly skilled mercenary including knife enthusiast lee christmas martial art expert yin yang heavy weapon specialist hale caesar demolitionist toll road loose cannon sniper gunner jensen group commissioned mysterious mr church assassinate dictator small south american island barney lee visit remote locale scout opposition discover true nature conflict engulfing city
The Amazing Spider-Man,peter parker outcast high schooler abandoned parent boy leaving raised uncle ben aunt may like teenager peter trying figure got person today peter discovers mysterious briefcase belonged father begin quest understand parent disappearance leading directly oscorp lab dr curt connors father former partner spider man set collision course connors alter ego lizard peter make life altering choice use power shape destiny become hero
The Iron Giant,small town rockwell maine october giant metal machine befriends nine year old boy ultimately find humanity unselfishly saving people fear prejudice
